0 0 0 0 0 0 0 0 0 
0504	-119.838	35.003	-	-	2	-	4	2
0611	-118.727	36.185	-	-	4	-	-	-
0613a	-119.259	35.819	2	-	-	-	-	3
7HLI	-120.3	34.96	2	-	-	-	-	5
ALVA	-120.617	34.593	3	-	-	-	-	-
C616	-120.001	35.575	2	-	-	2	-	-
CAUVa	-119.394	35.358	2	-	-	-	-	3
FIBR1	-119.394	35.398	3	-	-	-	-	4
GOUDa	-119.766	35.414	3	-	-	-	-	4
GRSY	-120.414	34.731	5	-	-	-	-	-
LAMO	-120.257	34.798	4	-	-	-	-	-
LASY	-119.957	35.441	3	-	-	-	-	8
LOSP	-120.606	34.894	4	-	-	-	-	-
MADC	-120.067	35.076	3	-	-	-	-	-
NAPO	-119.959	35.503	3	-	-	-	-	6
ORESb	-120.279	34.739	-	-	-	-	-	-
P807a	-119.853	35.603	1	-	-	1	-	3
POSO	-120.113	35.52	10	-	-	2	-	-
RUS1	-120.627	34.571	3	-	-	-	-	-
SAL2	-119.902	35.133	2	-	-	-	-	4
TWR2	-120.018	35.488	-	2	-	-	5	-
VNDPc	-120.616	34.556	-	-	-	-	-	-
